loss,val_loss
670699072.0,677869824.0
564488512.0,357701920.0
150075200.0,87620992.0
84838584.0,82716568.0
80331064.0,78238912.0
75785024.0,73807744.0
71150736.0,68876384.0
66221540.0,63782088.0
61042928.0,58568296.0
55675568.0,53168884.0
50310292.0,47988260.0
45214972.0,43125416.0
40505312.0,38928824.0
36781916.0,35754516.0
34183720.0,33607644.0
32332812.0,32084998.0
30886764.0,30838942.0
29681564.0,29773944.0
28554440.0,28691768.0
27572398.0,27759496.0
26680040.0,26927520.0
25860502.0,26148628.0
25159274.0,25492138.0
24462204.0,25021034.0
23858716.0,24322652.0
23336676.0,24085274.0
22854142.0,23472648.0
22465482.0,23197860.0
22156752.0,22887218.0
21924138.0,22766216.0
21756848.0,22661280.0
21633120.0,22698400.0
21533924.0,22439378.0
21422030.0,22379070.0
21341628.0,22324410.0
21271476.0,22321132.0
21264836.0,22236128.0
21109228.0,22269022.0
21092396.0,22181828.0
21047402.0,22146150.0
21012214.0,22119008.0
20969758.0,21990230.0
20899554.0,22245138.0
20921868.0,22032470.0
20860720.0,21869680.0
20752186.0,21827344.0
20749004.0,21772152.0
20704824.0,22023984.0
20636056.0,21762454.0
20644052.0,21889630.0
20575808.0,21666416.0
20576072.0,21616110.0
20516042.0,21578684.0
20490006.0,21527298.0
20431086.0,21519828.0
20474640.0,21494088.0
20382948.0,21461208.0
20390378.0,21479876.0
20349988.0,21605506.0
20309466.0,21409716.0
20254886.0,21517116.0
20240366.0,21316936.0
20205006.0,21260520.0
20154144.0,21393288.0
20166362.0,21244264.0
20156444.0,21211010.0
20141096.0,21149898.0
20050170.0,21553450.0
20112998.0,21074002.0
20021880.0,21054150.0
20010562.0,21034582.0
19995780.0,21021506.0
20016986.0,21032634.0
19932342.0,21370238.0
19959720.0,21024514.0
19971560.0,20928074.0
19853580.0,21203584.0
19876402.0,20912154.0
19854218.0,20926952.0
19819570.0,20828050.0
19780954.0,20918460.0
19813130.0,20857662.0
19738728.0,20781822.0
19685420.0,20783948.0
19739512.0,20779054.0
19689110.0,20726412.0
19692320.0,20698180.0
19649426.0,20691296.0
19636644.0,20764806.0
19660414.0,20717356.0
19609024.0,20888096.0
19598108.0,20608778.0
19591870.0,20575876.0
19612990.0,20558382.0
19535774.0,20577774.0
19565646.0,20585462.0
19529440.0,20583996.0
19496710.0,20555126.0
19434816.0,20633686.0
19512912.0,20482742.0
19470624.0,20466786.0
19424284.0,20455824.0
19421494.0,20412574.0
19399764.0,20378970.0
19420350.0,20803958.0
19369908.0,20648118.0
19369944.0,20414420.0
19350284.0,20403116.0
19346990.0,20303926.0
19344358.0,20366472.0
19351150.0,20351372.0
19277412.0,20372756.0
19280674.0,20358496.0
19253232.0,20356068.0
19262382.0,20260398.0
19259792.0,20263184.0
19241486.0,20274828.0
19215290.0,20208046.0
19212042.0,20189982.0
19160348.0,20496364.0
19158002.0,20142826.0
19159478.0,20186504.0
19171726.0,20186396.0
19120492.0,20098354.0
19150654.0,20364128.0
19112676.0,20116686.0
19074416.0,20123030.0
19086212.0,19984994.0
19055152.0,20182832.0
19069836.0,20390782.0
19181172.0,19980132.0
19022984.0,19927678.0
19040286.0,19967282.0
19038482.0,20313644.0
19025650.0,20006520.0
19073938.0,20201806.0
18982304.0,19943454.0
18965260.0,19829116.0
19017978.0,19842024.0
18968398.0,19800806.0
18981372.0,20089742.0
18969130.0,19911576.0
18919180.0,19793238.0
18937746.0,19831242.0
18922994.0,19792130.0
18930280.0,19803388.0
18896566.0,19797652.0
18865862.0,19920338.0
18876728.0,19802766.0
18852942.0,19742488.0
18910048.0,19746100.0
18869478.0,19882632.0
18833972.0,19799090.0
18897474.0,19823366.0
18813138.0,19759178.0
18789096.0,19601220.0
18806302.0,19645834.0
18800212.0,19712196.0
18790758.0,19590586.0
18778648.0,19986520.0
18810682.0,19662082.0
18756532.0,19677200.0
18733570.0,19579954.0
18765696.0,19611346.0
18739238.0,19616490.0
18752046.0,19503838.0
18700530.0,19679598.0
18767574.0,19498802.0
18708736.0,19526002.0
18742850.0,19568652.0
18737198.0,19572260.0
18727530.0,19634818.0
18754852.0,19514334.0
18678938.0,19482332.0
